,epoch,loss,accuracy,val_loss,val_accuracy,lr
0,0,8.455478477,0.976249993,4.159003314,0.99000001,0.01
1,1,8.517587965,0.978124976,4.220941535,0.99000001,0.01
2,2,8.143985382,0.980000019,6.77600854,0.985000014,0.01
3,3,3.825984059,0.742500007,4.511099592,0.982500017,0.01
4,4,2.211597186,0.327499986,1.389938027,0.582499981,0.01
5,5,1.40945855,0.536249995,1.115315557,0.805000007,0.01
6,6,1.361997097,0.486250013,0.876742135,0.907500029,0.01
7,7,1.158244743,0.44749999,0.85653135,0.735000014,0.01
8,8,1.289187137,0.499374986,1.188297859,0.0125,0.01
9,9,1.025921787,0.635625005,0.920622368,0.987500012,0.01
10,10,0.907523552,0.959375024,0.864874737,0.954999983,0.007692308
11,11,0.835339939,0.963750005,0.64342736,0.975000024,0.00578369
12,12,0.704879051,0.96312499,0.581006333,0.942499995,0.004252713
13,13,0.692948928,0.964375019,0.450678833,0.975000024,0.003059506
14,14,0.677237698,0.961875021,0.459477562,0.985000014,0.002154582
15,15,0.629881779,0.962499976,0.442620418,0.972500026,0.001485918
16,16,0.532383277,0.971875012,0.417172345,0.977500021,0.001003999
17,17,0.629254494,0.97437501,0.408154571,0.975000024,0.0006649
18,18,0.653938607,0.970000029,0.401464351,0.980000019,0.000431753
19,19,0.419294686,0.966250002,0.389613213,0.980000019,0.000275002
20,20,0.478902344,0.975624979,0.428266114,0.967499971,0.000171876
21,21,0.608498553,0.960624993,0.387936205,0.972500026,0.000105446
22,22,0.487067143,0.96875,0.381909218,0.982500017,6.35E-05
23,23,0.591718582,0.970624983,0.387633856,0.970000029,3.76E-05
24,24,0.468023049,0.976249993,0.382130232,0.980000019,2.19E-05
25,25,0.566852652,0.963750005,0.405140971,0.975000024,1.25E-05
26,26,0.537415164,0.967499971,0.389893035,0.982500017,7.02E-06
27,27,0.738638016,0.962499976,0.384917957,0.972500026,3.88E-06
28,28,0.521569622,0.964375019,0.374576665,0.99000001,2.11E-06
29,29,0.574435433,0.971875012,0.384279303,0.980000019,1.13E-06
30,30,0.464792661,0.973124981,0.388533953,0.970000029,5.93E-07
31,31,0.572468863,0.964375019,0.419605418,0.972500026,3.07E-07
32,32,0.623290798,0.969375014,0.382488743,0.977500021,1.57E-07
33,33,0.562816804,0.968124986,0.417144968,0.964999974,7.88E-08
34,34,0.472804533,0.968124986,0.397915585,0.980000019,3.90E-08
35,35,0.54720046,0.959999979,0.37897037,0.985000014,1.90E-08
