,epoch,loss,accuracy,val_loss,val_accuracy,lr
0,0,7.966725498996675,0.9787499904632568,8.791114294528962,0.9775000214576721,0.009999999776482582
1,1,9.67305816274602,0.9750000238418579,3.8670215986669065,0.9900000095367432,0.009999999776482582
2,2,8.057896936056204,0.9200000166893005,8.024574476480485,0.9175000190734863,0.009999999776482582
3,3,3.139522318542004,0.42750000953674316,2.2340953648090363,0.8424999713897705,0.009999999776482582
4,4,2.306224536150694,0.2056249976158142,2.091242951154709,0.032499998807907104,0.009999999776482582
5,5,1.760783640295267,0.8243749737739563,1.7582604438066483,0.9375,0.009999999776482582
6,6,1.6210510917007923,0.9200000166893005,1.2618334621191025,0.9125000238418579,0.009999999776482582
7,7,1.3284398283809424,0.9393749833106995,1.0990522846579551,0.9049999713897705,0.009999999776482582
8,8,1.301274660974741,0.9399999976158142,1.0121212914586066,0.9549999833106995,0.009999999776482582
9,9,1.08156101629138,0.9387500286102295,1.3101845309138298,0.9850000143051147,0.009999999776482582
10,10,1.2234764106571674,0.9537500143051147,1.3166923999786377,0.9775000214576721,0.007692307699471712
11,11,0.9808958195149898,0.9800000190734863,0.8969223141670227,0.987500011920929,0.0057836901396512985
12,12,1.041584899649024,0.9768750071525574,0.9058092206716537,0.9775000214576721,0.004252713173627853
13,13,1.1406269151717425,0.9612500071525574,0.9641680717468262,0.9750000238418579,0.0030595059506595135
14,14,0.8895529441535472,0.9325000047683716,0.7607453003525734,0.9375,0.0021545817144215107
15,15,0.8269845597445965,0.9543750286102295,0.8900162056088448,0.9599999785423279,0.00148591841571033
16,16,0.7366817858070135,0.9618750214576721,0.7731384411454201,0.9399999976158142,0.0010039989138022065
17,17,0.7393859215080738,0.9668750166893005,0.6679464712738991,0.9549999833106995,0.0006648999406024814
18,18,0.6362523596733809,0.9624999761581421,0.7706860557198525,0.9524999856948853,0.00043175320024602115
19,19,0.6834801625460386,0.9631249904632568,0.6112865209579468,0.9524999856948853,0.00027500203577801585
20,20,0.7002091005444526,0.9593750238418579,0.6111472696065903,0.9549999833106995,0.00017187627963721752
21,21,0.6913040604442358,0.9618750214576721,0.6708632640540599,0.9574999809265137,0.00010544557153480127
22,22,0.7152856549248099,0.9612500071525574,0.5799656964838504,0.9624999761581421,6.352143100230023e-05
23,23,0.7494585435837507,0.9631249904632568,0.7274207793176174,0.9449999928474426,3.758664388442412e-05
24,24,0.6011224808171391,0.9643750190734863,0.6487957373261451,0.9375,2.1852700228919275e-05
25,25,0.6293879151344299,0.9712499976158142,0.6783109538257122,0.9574999809265137,1.24872576634516e-05
26,26,0.7174720222130417,0.96875,0.7027175076305866,0.9549999833106995,7.0153132583072875e-06
27,27,0.6855037715286016,0.9700000286102295,0.5942839488387108,0.9624999761581421,3.875863512803335e-06
28,28,0.6831256944686175,0.9668750166893005,0.6491152942180634,0.9674999713897705,2.1064474822196644e-06
29,29,0.6348593531176447,0.9706249833106995,0.7445508286356926,0.9549999833106995,1.126442498389224e-06
