,epoch,loss,accuracy,val_loss,val_accuracy,lr
0,0,6.8725066123530265,0.981249988079071,5.295497879385948,0.987500011920929,0.009999999776482582
1,1,11.776771403104068,0.9700000286102295,4.2125149220228195,0.9900000095367432,0.009999999776482582
2,2,10.136280350573362,0.9731249809265137,5.402939982712269,0.987500011920929,0.009999999776482582
3,3,9.16150298640132,0.9775000214576721,4.1247491300106045,0.9900000095367432,0.009999999776482582
4,4,9.09738046946004,0.9762499928474426,5.932044978439808,0.9850000143051147,0.009999999776482582
5,5,8.276711694337427,0.9787499904632568,4.029377575218677,0.9900000095367432,0.009999999776482582
6,6,8.643890358507633,0.9775000214576721,8.801698806136846,0.9775000214576721,0.009999999776482582
7,7,7.809007521206513,0.9800000190734863,2.0186238553375007,0.9950000047683716,0.009999999776482582
8,8,9.435428555542604,0.9756249785423279,3.9150599874556065,0.9900000095367432,0.009999999776482582
9,9,7.28878947403282,0.981249988079071,7.866431653499603,0.9800000190734863,0.009999999776482582
10,10,9.783159946184606,0.9750000238418579,3.072774215787649,0.9925000071525574,9.999999974752427e-07
11,11,9.782753317151219,0.9750000238418579,3.0727743614464997,0.9925000071525574,1.000000013351432e-10
12,12,9.063827028498054,0.9768750071525574,4.031342794001103,0.9900000095367432,9.9999998245167e-15
13,13,12.4188163603656,0.9681249856948853,4.989911226555705,0.987500011920929,9.999999424161284e-19
14,14,7.865616414975375,0.9800000190734863,7.865616524219513,0.9800000190734863,9.999999682655225e-23
