,epoch,loss,accuracy,val_loss,val_accuracy
0,0,4.213664397597313,0.018124999478459358,4.1376124858856205,0.014999999664723873
1,1,4.131837111711502,0.02187499962747097,4.140162563323974,0.012500000186264515
2,2,4.122220373153686,0.016875000670552254,4.109405887126923,0.014999999664723873
3,3,4.117565977573395,0.029999999329447746,4.120489168167114,0.004999999888241291
4,4,4.114611953496933,0.02250000089406967,4.093682873249054,0.02500000037252903
5,5,4.1036022961139675,0.023125000298023224,4.079562973976135,0.02250000089406967
6,6,4.078965124487877,0.025624999776482582,4.102217972278595,0.007499999832361937
7,7,4.091325575113297,0.025624999776482582,4.089860022068024,0.017500000074505806
8,8,4.088821557164192,0.01875000074505806,4.100794041156769,0.009999999776482582
9,9,4.077331709861755,0.02437499910593033,4.084161996841431,0.02250000089406967
10,10,4.064005425572395,0.028750000521540642,4.088112056255341,0.009999999776482582
11,11,4.065999442338944,0.023749999701976776,4.084614884853363,0.014999999664723873
12,12,4.06384664773941,0.03125,4.08065482378006,0.027499999850988388
